claim_type	claim
Description	The pharmaceutical company GlaxoSmithKline owns the Wuhan Institute of Virology in China.
Description	Images that show a 90-year-old UK woman receiving the Pfizer COVID-19 vaccine appeared online in a CNN news story in October.
Description	“CDC COVID-19 survival rates” are 99.997% for people ages 0 to 19, 99.98% for people ages 20 to 49, 99.5% for people ages 50 to 69, and 94.6% for people over 70.
Interpretation	New York “is trying to pass a bill that would allow them to round up non mask wearers and people who don’t want to take the vaccine into concentration camps. Then with a court order they can force vaccinate you.”
Prediction	An optional microchip for COVID-19 vaccines “would give officials information on who has and has not been vaccinated” and “tracks the location of the patient.”
Description	Former U.S. President Donald Trump released a statement saying that he hopes "everyone remembers" that he was responsible for the "beautiful" COVID-19 vaccine shot.
Description	In fall 2020, the U.S. federal government released plans to force every citizen to get a COVID-19 vaccine.
Prediction	Vaccines “will remove parts of your DNA and replace it with GENETIC CODING (TECHNOLOGY)” that will “cause people to HAVE to cooperate with the New World Order.”
Description	Johnson & Johnson's COVID-19 vaccine contains aborted fetal cells.
Description	“American coronavirus vaccine killed five Ukrainians.”
Description 	New Yorkers can sign up for early access to the COVID-19 vaccine.
Evaluation Emotional	Says the new coronavirus vaccines contain toxic ingredients and are more dangerous than getting COVID-19.
Interpretation	mRNA vaccines are capable of altering or damaging human DNA.
Description	China recovered from COVID-19 “without a vaccine.”
Prediction	Individual U.S. states would be legally authorized to impose criminal penalties on individuals who refused to undergo a mandatory COVID-19 vaccination.
Interpretation	A participant in a clinical trial of the Pfizer/BioNTech COVID-19 vaccine developed a painful skin reaction on her foot as a result of taking that vaccine.
Description	"We're the first part of the UK, today, to get the vaccine into care homes."
Evaluation Rational	The percentage of Americans with natural immunity from getting COVID-19 is “a very powerful vaccine in itself.”
Description	AstraZeneca's COVID-19 vaccine contains aborted fetal cells.
Description	People who receive the NHS Covid-19 vaccination card must keep it with them all the time.
Description	An email chain documents Canada's Strategic Planning Committee's "global reset plan" to deal with COVID-19, including strict lockdowns and mandatory vaccines.
Description	“21% of people are having serious adverse events from (the Moderna) vaccine.”
Description	Country music icon Dolly Parton helped fund Moderna's COVID-19 vaccine.
Evaluation Emotional	“Head of Pfizer research: Covid vaccine is female sterilization.”
Description	A Russian health official recommended that people being vaccinated with Russia's Sputnik V Covid-19 vaccine abstain from drinking for two weeks before the first shot and 42 days after it.
Evaluation Emotional	The "head of Pfizer research" said the COVID-19 vaccine developed by the pharmaceutical company "is female sterilization."
Prediction	“Pope Francis says covid vaccine will now be required to enter heaven.”
Description	A registered nurse in Nashville, Tenn., developed Bell’s Palsy after receiving the COVID-19 vaccine.
Description	A nurse in Alabama died after receiving a vaccination for the COVID-19 coronavirus disease in December 2020.
Description	There is pork in Covid-19 vaccines.
Description	An image shows a CNN report on an outbreak of cannibalism among COVID-19 vaccine recipients.
Prediction	"If all goes 'well' it'll become federal law to get the (COVID-19) vaccine."
Prediction	Nadine Dorries MP’s office said that although vaccines aren’t mandatory, if you choose not to have a Covid-19 vaccine, you will face short-term restrictions to prevent you infecting anyone else.
Evaluation Emotional	Former White House Press Secretary Ari Fleischer said showing identification when getting a COVID-19 vaccine in New York was just as "sensible" as voter ID laws being pushed by Republican legislators.
Description	The research and development of Pfizer COVID-19 vaccine, which proved to be 90% effective against SARS-CoV-2 in November 2020, was funded by U.S. President Donald Trump’s Operation Warp Speed.
Evaluation Emotional	Says COVID-19 vaccines have “experimental technology never before used on humans” and that some “contain nanochips which can electronically track recipients."
Prediction	According to research by scientists at the Sloan Kettering Institute, mRNA vaccines may interfere with tumor-suppressing genes in a way that could promote cancer.
Description 	Viral text accurately outlines how biotechnology company Moderna is linked to Dr. Anthony Fauci, Bill Gates, George Soros, and Jeffrey Epstein.
Description	“Ticketmaster is planning mandatory COVID vaccine identification for concert attendance.”
Description	“One of the first nurses to receive the vaccine in AL is now dead.”
